
Image Name                     PID Session Name        Session#    Mem Usage
AsusSoftwareManagerAgent.     1744 Console                    1     34,992 K
Time.exe                     13232 Console                    1        152 K
RuntimeBroker.exe             5364 Console                    1     13,348 K
Calculator.exe                9428 Console                    1        132 K
svchost.exe                   7696 Services                   0      7,204 K
StartMenuExperienceHost.e    13176 Console                    1     88,020 K
devenv.exe                   11684 Console                    1    493,524 K
PerfWatson2.exe              11036 Console                    1     74,724 K
Microsoft.ServiceHub.Cont    13444 Console                    1     51,108 K
conhost.exe                   1472 Console                    1     11,180 K
ServiceHub.IdentityHost.e    12380 Console                    1     37,724 K
conhost.exe                   4360 Console                    1     11,184 K
ServiceHub.ThreadedWaitDi    12760 Console                    1     86,124 K
conhost.exe                  13808 Console                    1     11,180 K
ServiceHub.VSDetouredHost    14216 Console                    1     67,660 K
conhost.exe                  14172 Console                    1     11,180 K
MSBuild.exe                   3564 Console                    1     44,156 K
conhost.exe                  12216 Console                    1     11,288 K
ServiceHub.RoslynCodeAnal    10600 Console                    1    177,740 K
conhost.exe                   9776 Console                    1     11,192 K
ServiceHub.Host.CLR.x86.e     9476 Console                    1     69,292 K
conhost.exe                  11288 Console                    1     11,184 K
ServiceHub.Host.CLR.x86.e    11080 Console                    1    163,108 K
conhost.exe                  10196 Console                    1     11,184 K
ServiceHub.SettingsHost.e    10256 Console                    1     55,184 K
conhost.exe                  10396 Console                    1     11,180 K
ServiceHub.TestWindowStor    13172 Console                    1     54,564 K
conhost.exe                  12544 Console                    1     11,176 K
ServiceHub.DataWarehouseH    13300 Console                    1     95,832 K
conhost.exe                  11380 Console                    1     11,184 K
VirtualBoxVM.exe             13436 Console                    1      7,648 K
VirtualBoxVM.exe             15544 Console                    1      4,928 K
VirtualBoxVM.exe              4612 Console                    1    151,620 K
VBCSCompiler.exe             12336 Console                    1     74,036 K
conhost.exe                  15464 Console                    1     11,164 K
StandardCollector.Service    14072 Services                   0     93,452 K
cmd.exe                      15468 Console                    1      4,124 K
conhost.exe                   1328 Console                    1     16,876 K
svchost.exe                   4012 Services                   0     12,072 K
SearchProtocolHost.exe       13708 Services                   0     10,112 K
SearchFilterHost.exe          7192 Services                   0      6,424 K
WmiPrvSE.exe                 16928 Services                   0     10,236 K
ScriptedSandbox64.exe        16644 Console                    1     54,024 K
NSGeoTrace.exe                 784 Console                    1     13,288 K
conhost.exe                  16508 Console                    1     15,912 K
tasklist.exe                  6148 Console                    1     11,576 K
